reviewId,userName,score,content,at,company,thumbsUpCount
ps-tra-001,user_tr001,5,Forecast rollups finally match what finance expects,2026-07-14T09:07:00.000Z,Trackr,1
ps-tra-002,user_tr002,3,Deal Pipeline works for basic use but lacks polish compared to alternatives. Ticket #1002.,2026-07-13T10:14:00.000Z,Trackr,2
ps-tra-003,user_tr003,3,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,2026-07-12T11:21:00.000Z,Trackr,3
ps-tra-004,user_tr004,2,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,2026-07-11T12:28:00.000Z,Trackr,4
ps-tra-005,user_tr005,3,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,2026-07-10T13:35:00.000Z,Trackr,0
ps-tra-006,user_tr006,2,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,2026-07-09T14:42:00.000Z,Trackr,1
ps-tra-007,user_tr007,3,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,2026-07-08T15:49:00.000Z,Trackr,2
ps-tra-008,user_tr008,1,Sales leadership is piloting HubSpot — reporting gaps are the reason,2026-07-07T16:56:00.000Z,Trackr,3
ps-tra-009,user_tr009,2,We will not renew if Salesforce sync keeps duplicating accounts,2026-07-06T17:03:00.000Z,Trackr,4
ps-tra-010,user_tr010,4,Deal timeline view is the best we have used in any CRM,2026-07-05T08:10:00.000Z,Trackr,0
ps-tra-011,user_tr011,5,Forecast rollups finally match what finance expects,2026-07-04T09:17:00.000Z,Trackr,1
ps-tra-012,user_tr012,3,Deal Pipeline works for basic use but lacks polish compared to alternatives. Ticket #1012.,2026-07-03T10:24:00.000Z,Trackr,2
ps-tra-013,user_tr013,3,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,2026-07-02T11:31:00.000Z,Trackr,3
ps-tra-014,user_tr014,2,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,2026-07-01T12:38:00.000Z,Trackr,4
ps-tra-015,user_tr015,3,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,2026-06-30T13:45:00.000Z,Trackr,0
ps-tra-016,user_tr016,2,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,2026-06-29T14:52:00.000Z,Trackr,1
ps-tra-017,user_tr017,3,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,2026-06-28T15:59:00.000Z,Trackr,2
ps-tra-018,user_tr018,1,Repeated complaint about pipeline freezes — ops wants to switch,2026-06-27T16:06:00.000Z,Trackr,3
ps-tra-019,user_tr019,2,Looking at Pipedrive because custom reports are still impossible,2026-06-26T17:13:00.000Z,Trackr,4
ps-tra-020,user_tr020,4,Deal timeline view is the best we have used in any CRM,2026-06-25T08:20:00.000Z,Trackr,0
ps-tra-021,user_tr021,5,Forecast rollups finally match what finance expects,2026-06-24T09:27:00.000Z,Trackr,1
