id,title,body,rating,submitted_at,reviewer_title,product_name
g2-nov-001,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-07-09T14:42:00.000Z,Engineering Lead,NovaPulse
g2-nov-002,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-07-08T15:49:00.000Z,Customer Success,NovaPulse
g2-nov-003,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-07-07T16:56:00.000Z,VP Operations,NovaPulse
g2-nov-004,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-07-06T17:03:00.000Z,Analyst,NovaPulse
g2-nov-005,Considering alternatives — Query Builder,Evaluating Looker because exports and timeouts are blocking exec reporting,4,2026-07-05T08:10:00.000Z,Product Manager,NovaPulse
g2-nov-006,Considering alternatives — Alerts,If query performance is not fixed we cancel before Q4,2,2026-07-04T09:17:00.000Z,Engineering Lead,NovaPulse
g2-nov-007,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-07-03T10:24:00.000Z,Customer Success,NovaPulse
g2-nov-008,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-07-02T11:31:00.000Z,VP Operations,NovaPulse
g2-nov-009,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1012.,6,2026-07-01T12:38:00.000Z,Analyst,NovaPulse
g2-nov-010,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-06-30T13:45:00.000Z,Product Manager,NovaPulse
g2-nov-011,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-06-29T14:52:00.000Z,Engineering Lead,NovaPulse
g2-nov-012,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-06-28T15:59:00.000Z,Customer Success,NovaPulse
g2-nov-013,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-06-27T16:06:00.000Z,VP Operations,NovaPulse
g2-nov-014,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-06-26T17:13:00.000Z,Analyst,NovaPulse
g2-nov-015,Considering alternatives — Query Builder,Third ticket this week about CSV truncation — considering Mode Analytics,4,2026-06-25T08:20:00.000Z,Product Manager,NovaPulse
g2-nov-016,Considering alternatives — Alerts,Frustration escalating: dashboard UX regressions after last release,2,2026-06-24T09:27:00.000Z,Engineering Lead,NovaPulse
g2-nov-017,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-06-23T10:34:00.000Z,Customer Success,NovaPulse
g2-nov-018,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-06-22T11:41:00.000Z,VP Operations,NovaPulse
g2-nov-019,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1022.,6,2026-06-21T12:48:00.000Z,Analyst,NovaPulse
g2-nov-020,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-06-20T13:55:00.000Z,Product Manager,NovaPulse
g2-nov-021,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-06-19T14:02:00.000Z,Engineering Lead,NovaPulse
g2-nov-022,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-06-18T15:09:00.000Z,Customer Success,NovaPulse
g2-nov-023,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-06-17T16:16:00.000Z,VP Operations,NovaPulse
g2-nov-024,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-06-16T17:23:00.000Z,Analyst,NovaPulse
g2-nov-025,Considering alternatives — Query Builder,Evaluating Looker because exports and timeouts are blocking exec reporting,4,2026-06-15T08:30:00.000Z,Product Manager,NovaPulse
g2-nov-026,Considering alternatives — Alerts,If query performance is not fixed we cancel before Q4,2,2026-06-14T09:37:00.000Z,Engineering Lead,NovaPulse
g2-nov-027,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-06-13T10:44:00.000Z,Customer Success,NovaPulse
g2-nov-028,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-06-12T11:51:00.000Z,VP Operations,NovaPulse
g2-nov-029,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1032.,6,2026-06-11T12:58:00.000Z,Analyst,NovaPulse
g2-nov-030,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-06-10T13:05:00.000Z,Product Manager,NovaPulse
g2-nov-031,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-06-09T14:12:00.000Z,Engineering Lead,NovaPulse
g2-nov-032,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-06-08T15:19:00.000Z,Customer Success,NovaPulse
g2-nov-033,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-06-07T16:26:00.000Z,VP Operations,NovaPulse
g2-nov-034,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-06-06T17:33:00.000Z,Analyst,NovaPulse
g2-nov-035,Considering alternatives — Query Builder,Third ticket this week about CSV truncation — considering Mode Analytics,4,2026-06-05T08:40:00.000Z,Product Manager,NovaPulse
g2-nov-036,Considering alternatives — Alerts,Frustration escalating: dashboard UX regressions after last release,2,2026-06-04T09:47:00.000Z,Engineering Lead,NovaPulse
g2-nov-037,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-06-03T10:54:00.000Z,Customer Success,NovaPulse
g2-nov-038,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-06-02T11:01:00.000Z,VP Operations,NovaPulse
g2-nov-039,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1042.,6,2026-06-01T12:08:00.000Z,Analyst,NovaPulse
g2-nov-040,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-05-31T13:15:00.000Z,Product Manager,NovaPulse
g2-nov-041,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-05-30T14:22:00.000Z,Engineering Lead,NovaPulse
g2-nov-042,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-05-29T15:29:00.000Z,Customer Success,NovaPulse
g2-nov-043,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-05-28T16:36:00.000Z,VP Operations,NovaPulse
g2-nov-044,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-05-27T17:43:00.000Z,Analyst,NovaPulse
g2-nov-045,Considering alternatives — Query Builder,Evaluating Looker because exports and timeouts are blocking exec reporting,4,2026-05-26T08:50:00.000Z,Product Manager,NovaPulse
g2-nov-046,Considering alternatives — Alerts,If query performance is not fixed we cancel before Q4,2,2026-05-25T09:57:00.000Z,Engineering Lead,NovaPulse
g2-nov-047,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-05-24T10:04:00.000Z,Customer Success,NovaPulse
g2-nov-048,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-05-23T11:11:00.000Z,VP Operations,NovaPulse
g2-nov-049,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1052.,6,2026-05-22T12:18:00.000Z,Analyst,NovaPulse
g2-nov-050,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-05-21T13:25:00.000Z,Product Manager,NovaPulse
g2-nov-051,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-05-20T14:32:00.000Z,Engineering Lead,NovaPulse
g2-nov-052,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-05-19T15:39:00.000Z,Customer Success,NovaPulse
g2-nov-053,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-05-18T16:46:00.000Z,VP Operations,NovaPulse
g2-nov-054,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-05-17T17:53:00.000Z,Analyst,NovaPulse
g2-nov-055,Considering alternatives — Query Builder,Third ticket this week about CSV truncation — considering Mode Analytics,4,2026-05-16T08:00:00.000Z,Product Manager,NovaPulse
g2-nov-056,Considering alternatives — Alerts,Frustration escalating: dashboard UX regressions after last release,2,2026-05-15T09:07:00.000Z,Engineering Lead,NovaPulse
g2-nov-057,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-05-14T10:14:00.000Z,Customer Success,NovaPulse
g2-nov-058,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-05-13T11:21:00.000Z,VP Operations,NovaPulse
g2-nov-059,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1062.,6,2026-05-12T12:28:00.000Z,Analyst,NovaPulse
g2-nov-060,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-05-11T13:35:00.000Z,Product Manager,NovaPulse
g2-nov-061,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-05-10T14:42:00.000Z,Engineering Lead,NovaPulse
g2-nov-062,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-05-09T15:49:00.000Z,Customer Success,NovaPulse
g2-nov-063,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-05-08T16:56:00.000Z,VP Operations,NovaPulse
g2-nov-064,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-05-07T17:03:00.000Z,Analyst,NovaPulse
g2-nov-065,Considering alternatives — Query Builder,Evaluating Looker because exports and timeouts are blocking exec reporting,4,2026-05-06T08:10:00.000Z,Product Manager,NovaPulse
g2-nov-066,Considering alternatives — Alerts,If query performance is not fixed we cancel before Q4,2,2026-05-05T09:17:00.000Z,Engineering Lead,NovaPulse
g2-nov-067,Great performance experience,Once queries are cached the dashboards feel instant,10,2026-05-04T10:24:00.000Z,Customer Success,NovaPulse
g2-nov-068,Great dashboard ux experience,Alert routing to Slack channels is exactly what we needed,8,2026-05-03T11:31:00.000Z,VP Operations,NovaPulse
g2-nov-069,Exports is okay,Exports works for basic use but lacks polish compared to alternatives. Ticket #1072.,6,2026-05-02T12:38:00.000Z,Analyst,NovaPulse
g2-nov-070,Query Builder issue,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,4,2026-05-01T13:45:00.000Z,Product Manager,NovaPulse
g2-nov-071,Alerts issue,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,6,2026-04-30T14:52:00.000Z,Engineering Lead,NovaPulse
g2-nov-072,Performance issue,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,4,2026-04-29T15:59:00.000Z,Customer Success,NovaPulse
g2-nov-073,Dashboard UX issue,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,6,2026-04-28T16:06:00.000Z,VP Operations,NovaPulse
g2-nov-074,Exports issue,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,4,2026-04-27T17:13:00.000Z,Analyst,NovaPulse
g2-nov-075,Considering alternatives — Query Builder,Third ticket this week about CSV truncation — considering Mode Analytics,4,2026-04-26T08:20:00.000Z,Product Manager,NovaPulse
