reviewId,userName,score,content,at,company,thumbsUpCount
ps-nov-001,user_no001,5,Alert routing to Slack channels is exactly what we needed,2026-07-14T09:07:00.000Z,NovaPulse,1
ps-nov-002,user_no002,3,Exports works for basic use but lacks polish compared to alternatives. Ticket #1002.,2026-07-13T10:14:00.000Z,NovaPulse,2
ps-nov-003,user_no003,3,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,2026-07-12T11:21:00.000Z,NovaPulse,3
ps-nov-004,user_no004,2,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,2026-07-11T12:28:00.000Z,NovaPulse,4
ps-nov-005,user_no005,3,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,2026-07-10T13:35:00.000Z,NovaPulse,0
ps-nov-006,user_no006,2,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,2026-07-09T14:42:00.000Z,NovaPulse,1
ps-nov-007,user_no007,3,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,2026-07-08T15:49:00.000Z,NovaPulse,2
ps-nov-008,user_no008,1,Evaluating Looker because exports and timeouts are blocking exec reporting,2026-07-07T16:56:00.000Z,NovaPulse,3
ps-nov-009,user_no009,2,If query performance is not fixed we cancel before Q4,2026-07-06T17:03:00.000Z,NovaPulse,4
ps-nov-010,user_no010,4,Once queries are cached the dashboards feel instant,2026-07-05T08:10:00.000Z,NovaPulse,0
ps-nov-011,user_no011,5,Alert routing to Slack channels is exactly what we needed,2026-07-04T09:17:00.000Z,NovaPulse,1
ps-nov-012,user_no012,3,Exports works for basic use but lacks polish compared to alternatives. Ticket #1012.,2026-07-03T10:24:00.000Z,NovaPulse,2
ps-nov-013,user_no013,3,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,2026-07-02T11:31:00.000Z,NovaPulse,3
ps-nov-014,user_no014,2,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,2026-07-01T12:38:00.000Z,NovaPulse,4
ps-nov-015,user_no015,3,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,2026-06-30T13:45:00.000Z,NovaPulse,0
ps-nov-016,user_no016,2,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,2026-06-29T14:52:00.000Z,NovaPulse,1
ps-nov-017,user_no017,3,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,2026-06-28T15:59:00.000Z,NovaPulse,2
ps-nov-018,user_no018,1,Third ticket this week about CSV truncation — considering Mode Analytics,2026-06-27T16:06:00.000Z,NovaPulse,3
ps-nov-019,user_no019,2,Frustration escalating: dashboard UX regressions after last release,2026-06-26T17:13:00.000Z,NovaPulse,4
ps-nov-020,user_no020,4,Once queries are cached the dashboards feel instant,2026-06-25T08:20:00.000Z,NovaPulse,0
ps-nov-021,user_no021,5,Alert routing to Slack channels is exactly what we needed,2026-06-24T09:27:00.000Z,NovaPulse,1
ps-nov-022,user_no022,3,Exports works for basic use but lacks polish compared to alternatives. Ticket #1022.,2026-06-23T10:34:00.000Z,NovaPulse,2
ps-nov-023,user_no023,3,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,2026-06-22T11:41:00.000Z,NovaPulse,3
ps-nov-024,user_no024,2,Anomaly alerts fire too late — often hours after the spike. Context: Alerts workflow on NovaPulse.,2026-06-21T12:48:00.000Z,NovaPulse,4
ps-nov-025,user_no025,3,Sharing a dashboard with view-only users still allows chart edits. Context: Performance workflow on NovaPulse.,2026-06-20T13:55:00.000Z,NovaPulse,0
ps-nov-026,user_no026,2,Dark charts are unreadable when exporting to PDF. Context: Dashboard UX workflow on NovaPulse.,2026-06-19T14:02:00.000Z,NovaPulse,1
ps-nov-027,user_no027,3,Snowflake connector drops timezone info on TIMESTAMP_TZ columns. Context: Exports workflow on NovaPulse.,2026-06-18T15:09:00.000Z,NovaPulse,2
ps-nov-028,user_no028,1,Evaluating Looker because exports and timeouts are blocking exec reporting,2026-06-17T16:16:00.000Z,NovaPulse,3
ps-nov-029,user_no029,2,If query performance is not fixed we cancel before Q4,2026-06-16T17:23:00.000Z,NovaPulse,4
ps-nov-030,user_no030,4,Once queries are cached the dashboards feel instant,2026-06-15T08:30:00.000Z,NovaPulse,0
ps-nov-031,user_no031,5,Alert routing to Slack channels is exactly what we needed,2026-06-14T09:37:00.000Z,NovaPulse,1
ps-nov-032,user_no032,3,Exports works for basic use but lacks polish compared to alternatives. Ticket #1032.,2026-06-13T10:44:00.000Z,NovaPulse,2
ps-nov-033,user_no033,3,Query builder cannot express window functions we need for cohorts. Context: Query Builder workflow on NovaPulse.,2026-06-12T11:51:00.000Z,NovaPulse,3
