id,subject,description,status,tags,requester_id,created_at,company,priority
10001,Email Sync issue,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,pending,integrations,zd_user_001,2026-07-11T12:28:00.000Z,Trackr,high
10002,Forecasting issue,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,solved,deal_pipeline,zd_user_002,2026-07-10T13:35:00.000Z,Trackr,high
10003,Reporting issue,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,closed,email_sync,zd_user_003,2026-07-09T14:42:00.000Z,Trackr,high
10004,Integrations issue,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,open,forecasting,zd_user_004,2026-07-08T15:49:00.000Z,Trackr,high
10005,Deal Pipeline issue,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,pending,reporting,zd_user_005,2026-07-07T16:56:00.000Z,Trackr,high
10006,Considering alternatives — Email Sync,Sales leadership is piloting HubSpot — reporting gaps are the reason,solved,integrations,zd_user_006,2026-07-06T17:03:00.000Z,Trackr,urgent
10007,Considering alternatives — Forecasting,We will not renew if Salesforce sync keeps duplicating accounts,closed,deal_pipeline,zd_user_007,2026-07-05T08:10:00.000Z,Trackr,urgent
10008,Great reporting experience,Deal timeline view is the best we have used in any CRM,open,email_sync,zd_user_008,2026-07-04T09:17:00.000Z,Trackr,normal
10009,Great integrations experience,Forecast rollups finally match what finance expects,pending,forecasting,zd_user_009,2026-07-03T10:24:00.000Z,Trackr,normal
10010,Deal Pipeline is okay,Deal Pipeline works for basic use but lacks polish compared to alternatives. Ticket #1012.,solved,reporting,zd_user_010,2026-07-02T11:31:00.000Z,Trackr,normal
10011,Email Sync issue,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,closed,integrations,zd_user_011,2026-07-01T12:38:00.000Z,Trackr,high
10012,Forecasting issue,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,open,deal_pipeline,zd_user_012,2026-06-30T13:45:00.000Z,Trackr,high
10013,Reporting issue,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,pending,email_sync,zd_user_013,2026-06-29T14:52:00.000Z,Trackr,high
10014,Integrations issue,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,solved,forecasting,zd_user_014,2026-06-28T15:59:00.000Z,Trackr,high
10015,Deal Pipeline issue,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,closed,reporting,zd_user_015,2026-06-27T16:06:00.000Z,Trackr,high
10016,Considering alternatives — Email Sync,Repeated complaint about pipeline freezes — ops wants to switch,open,integrations,zd_user_016,2026-06-26T17:13:00.000Z,Trackr,urgent
10017,Considering alternatives — Forecasting,Looking at Pipedrive because custom reports are still impossible,pending,deal_pipeline,zd_user_017,2026-06-25T08:20:00.000Z,Trackr,urgent
10018,Great reporting experience,Deal timeline view is the best we have used in any CRM,solved,email_sync,zd_user_018,2026-06-24T09:27:00.000Z,Trackr,normal
10019,Great integrations experience,Forecast rollups finally match what finance expects,closed,forecasting,zd_user_019,2026-06-23T10:34:00.000Z,Trackr,normal
10020,Deal Pipeline is okay,Deal Pipeline works for basic use but lacks polish compared to alternatives. Ticket #1022.,open,reporting,zd_user_020,2026-06-22T11:41:00.000Z,Trackr,normal
10021,Email Sync issue,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,pending,integrations,zd_user_021,2026-06-21T12:48:00.000Z,Trackr,high
10022,Forecasting issue,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,solved,deal_pipeline,zd_user_022,2026-06-20T13:55:00.000Z,Trackr,high
10023,Reporting issue,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,closed,email_sync,zd_user_023,2026-06-19T14:02:00.000Z,Trackr,high
10024,Integrations issue,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,open,forecasting,zd_user_024,2026-06-18T15:09:00.000Z,Trackr,high
10025,Deal Pipeline issue,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,pending,reporting,zd_user_025,2026-06-17T16:16:00.000Z,Trackr,high
10026,Considering alternatives — Email Sync,Sales leadership is piloting HubSpot — reporting gaps are the reason,solved,integrations,zd_user_026,2026-06-16T17:23:00.000Z,Trackr,urgent
10027,Considering alternatives — Forecasting,We will not renew if Salesforce sync keeps duplicating accounts,closed,deal_pipeline,zd_user_027,2026-06-15T08:30:00.000Z,Trackr,urgent
10028,Great reporting experience,Deal timeline view is the best we have used in any CRM,open,email_sync,zd_user_028,2026-06-14T09:37:00.000Z,Trackr,normal
10029,Great integrations experience,Forecast rollups finally match what finance expects,pending,forecasting,zd_user_029,2026-06-13T10:44:00.000Z,Trackr,normal
10030,Deal Pipeline is okay,Deal Pipeline works for basic use but lacks polish compared to alternatives. Ticket #1032.,solved,reporting,zd_user_030,2026-06-12T11:51:00.000Z,Trackr,normal
10031,Email Sync issue,Email tracking misses threads from our Google Workspace alias. Context: Email Sync workflow on Trackr.,closed,integrations,zd_user_031,2026-06-11T12:58:00.000Z,Trackr,high
10032,Forecasting issue,Pipeline board freezes when we have more than 2k open deals. Context: Forecasting workflow on Trackr.,open,deal_pipeline,zd_user_032,2026-06-10T13:05:00.000Z,Trackr,high
10033,Reporting issue,Forecast categories ignore probability overrides set by managers. Context: Reporting workflow on Trackr.,pending,email_sync,zd_user_033,2026-06-09T14:12:00.000Z,Trackr,high
10034,Integrations issue,HubSpot import drops custom fields silently. Context: Integrations workflow on Trackr.,solved,forecasting,zd_user_034,2026-06-08T15:19:00.000Z,Trackr,high
10035,Deal Pipeline issue,Cannot filter won deals by competitor displaced. Context: Deal Pipeline workflow on Trackr.,closed,reporting,zd_user_035,2026-06-07T16:26:00.000Z,Trackr,high
10036,Considering alternatives — Email Sync,Repeated complaint about pipeline freezes — ops wants to switch,open,integrations,zd_user_036,2026-06-06T17:33:00.000Z,Trackr,urgent
